Depth;DEPOFACIES;GR;GR_SHAPE;LLD;NPHI;PHIE;RHOB;ROCK_TYPE;VWCL
M;;gAPI;;ohm.m;m3/m3;Dec;g/cm3;;Dec
1795.9500;1.0000;164.2547;2.0000;1.7110;0.2403;0.0001;2.0110;-9999;0.5150
1796.1000;1.0000;168.9980;2.0000;1.8080;0.2481;0.0001;2.0009;-9999;0.5648
1796.2500;1.0000;168.2983;2.0000;1.7860;0.2558;0.0001;2.0034;-9999;0.5624
1796.4000;1.0000;167.5980;2.0000;1.7640;0.2636;0.0001;2.0059;-9999;0.5600
1796.5500;1.0000;170.4397;2.0000;1.7615;0.2713;0.0001;2.0085;-9999;0.5937
1796.7000;1.0000;173.2840;2.0000;1.7590;0.2791;0.0001;2.0110;-9999;0.6154
1796.8500;1.0000;172.9312;2.0000;1.7255;0.2868;0.0001;2.0135;-9999;0.6200
1797.0000;1.0000;172.5780;2.0000;1.6920;0.2899;0.0001;2.0161;-9999;0.6218
1797.1500;1.0000;170.6364;2.0000;1.6520;0.2930;0.0001;2.0186;-9999;0.6085
1797.3000;1.0000;168.6930;2.0000;1.6120;0.2961;0.0020;2.0274;-9999;0.5900
1797.4500;1.0000;168.4926;2.0000;1.5650;0.2992;0.0049;2.0363;-9999;0.5898
1797.6000;1.0000;168.2920;2.0000;1.5180;0.3023;0.0078;2.0451;-9999;0.5896
1797.7500;1.0000;169.3420;2.0000;1.4725;0.3054;0.0044;2.0540;-9999;0.6021
1797.9000;1.0000;170.3930;2.0000;1.4270;0.3085;0.0010;2.0628;-9999;0.6149
1798.0500;1.0000;167.1041;2.0000;1.4025;0.3116;0.0194;2.0717;-9999;0.5833
1798.2000;1.0000;163.8120;2.0000;1.3780;0.3147;0.0377;2.0805;-9999;0.5548
1798.3500;1.0000;161.0698;2.0000;1.2716;0.3178;0.0546;2.0894;-9999;0.5333
1798.5000;1.0000;158.3250;2.0000;1.1650;0.3143;0.0655;2.0850;-9999;0.5094
1798.6500;1.0000;162.9593;2.0000;1.0960;0.3107;0.0391;2.0805;-9999;0.5451
1798.8000;1.0000;167.5980;2.0000;1.0270;0.3071;0.0142;2.0761;-9999;0.5855
1798.9500;1.0000;165.8538;2.0000;0.9845;0.3035;0.0203;2.0717;-9999;0.5668
1799.1000;1.0000;164.1080;2.0000;0.9420;0.2999;0.0259;2.0799;-9999;0.5489
1799.2500;1.0000;161.9151;2.0000;0.9215;0.2964;0.0337;2.0880;-9999;0.5279
1799.4000;1.0000;159.7200;2.0000;0.9010;0.2928;0.0420;2.0962;-9999;0.5079
1799.5500;1.0000;165.9006;2.0000;0.8985;0.2892;0.0113;2.1044;-9999;0.5589
1799.7000;1.0000;172.0870;2.0000;0.8960;0.2856;0.0001;2.1125;-9999;0.6193
1799.8500;1.0000;174.6818;2.0000;0.9085;0.2821;0.0001;2.1207;-9999;0.6172
1800.0000;1.0000;177.2790;2.0000;0.9210;0.2785;0.0001;2.1289;4.0000;0.6151
1800.1500;1.0000;175.6328;2.0000;0.9315;0.2749;0.0001;2.1370;4.0000;0.6130
1800.3000;1.0000;173.9850;2.0000;0.9420;0.2713;0.0001;2.1452;4.0000;0.6109
1800.4500;1.0000;173.3613;2.0000;0.9750;0.2752;0.0001;2.1534;4.0000;0.6132
1800.6000;1.0000;172.7370;2.0000;1.0080;0.2791;0.0001;2.1615;4.0000;0.6154
1800.7500;1.0000;170.7704;2.0000;1.1149;0.2829;0.0001;2.1697;4.0000;0.6041
1800.9000;1.0000;168.8020;2.0000;1.2220;0.2868;0.0001;2.1779;4.0000;0.5857
1801.0500;1.0000;171.3383;2.0000;1.2110;0.2907;0.0001;2.1558;4.0000;0.6148
1801.2000;1.0000;173.8770;2.0000;1.2000;0.2946;0.0001;2.1336;4.0000;0.6245
1801.3500;1.0000;171.6246;2.0000;1.1245;0.2984;0.0001;2.1115;4.0000;0.6225
1801.5000;1.0000;169.3700;2.0000;1.0490;0.3023;0.0024;2.0894;4.0000;0.6005
1801.6500;1.0000;166.8032;2.0000;0.9580;0.3062;0.0175;2.0673;4.0000;0.5773
1801.8000;1.0000;164.2340;2.0000;0.8670;0.3101;0.0318;2.0451;4.0000;0.5559
1801.9500;1.0000;166.4614;2.0000;0.8515;0.3140;0.0239;2.0230;4.0000;0.5785
1802.1000;1.0000;168.6910;2.0000;0.8360;0.3178;0.0154;2.0009;4.0000;0.6026
1802.2500;1.0000;166.8214;2.0000;0.9355;0.3178;0.0245;2.0127;4.0000;0.5842
1802.4000;1.0000;164.9500;2.0000;1.0350;0.3178;0.0338;2.0245;4.0000;0.5668
1802.5500;1.0000;166.2734;2.0000;1.0630;0.3178;0.0271;2.0363;4.0000;0.5790
1802.7000;1.0000;167.5980;2.0000;1.0910;0.3178;0.0209;2.0481;4.0000;0.5917
1802.8500;1.0000;167.4176;2.0000;1.0750;0.3223;0.0244;2.0599;4.0000;0.5925
1803.0000;1.0000;167.2370;2.0000;1.0590;0.3267;0.0280;2.0717;4.0000;0.5933
1803.1500;1.0000;164.4293;2.0000;1.0800;0.3311;0.0446;2.0628;4.0000;0.5698
1803.3000;1.0000;161.6190;2.0000;1.1010;0.3355;0.0611;2.0540;4.0000;0.5481
1803.4500;1.0000;159.4995;2.0000;0.7657;0.3400;0.0745;2.0673;4.0000;0.5335
1803.6000;1.0000;157.3780;2.0000;0.4300;0.3444;0.0889;2.0805;4.0000;0.5196
1803.7500;1.0000;160.4056;2.0000;0.4915;0.3488;0.0631;2.0938;4.0000;0.5458
1803.9000;1.0000;163.4360;2.0000;0.5530;0.3450;0.0452;2.1071;4.0000;0.5690
1804.0500;1.0000;164.1986;2.0000;0.7649;0.3411;0.0422;2.1004;4.0000;0.5735
1804.2000;1.0000;164.9620;2.0000;0.9770;0.3372;0.0393;2.0938;4.0000;0.5781
1804.3500;1.0000;163.4732;2.0000;0.6756;0.3333;0.0497;2.0872;4.0000;0.5626
1804.5000;1.0000;161.9830;2.0000;0.3740;0.3256;0.0559;2.0805;4.0000;0.5454
1804.6500;1.0000;165.2509;2.0000;0.6564;0.3178;0.0321;2.0739;4.0000;0.5695
1804.8000;1.0000;168.5220;2.0000;0.9390;0.3101;0.0115;2.0673;4.0000;0.5964
1804.9500;1.0000;168.4975;2.0000;0.9435;0.3023;0.0068;2.0606;4.0000;0.5916
1805.1000;1.0000;168.4730;2.0000;0.9480;0.2946;0.0022;2.0540;4.0000;0.5869
1805.2500;1.0000;162.2875;2.0000;0.8640;0.2868;0.0257;2.0540;4.0000;0.5255
1805.4000;1.0000;156.0960;2.0000;0.7800;0.2961;0.0620;2.0540;4.0000;0.4821
1805.5500;1.0000;156.4778;2.0000;0.6826;0.3054;0.0674;2.0540;4.0000;0.4904
1805.7000;1.0000;156.8600;2.0000;0.5850;0.3147;0.0728;2.0540;4.0000;0.4986
1805.8500;1.0000;156.6906;2.0000;0.6250;0.3240;0.0807;2.0540;4.0000;0.5027
1806.0000;1.0000;156.5210;2.0000;0.6650;0.3333;0.0887;2.0559;4.0000;0.5068
1806.1500;1.0000;158.9118;2.0000;0.6425;0.3349;0.0785;2.0579;4.0000;0.5259
1806.3000;1.0000;161.3050;2.0000;0.6200;0.3364;0.0629;2.0599;4.0000;0.5460
1806.4500;1.0000;163.4035;2.0000;0.5490;0.3380;0.0482;2.0618;4.0000;0.5647
1806.6000;1.0000;165.5040;2.0000;0.4780;0.3395;0.0357;2.0638;4.0000;0.5844
1806.7500;1.0000;164.5535;2.0000;0.4980;0.3411;0.0402;2.0658;4.0000;0.5766
1806.9000;1.0000;163.6020;2.0000;0.5180;0.3426;0.0451;2.0677;4.0000;0.5691
1807.0500;1.0000;160.6359;2.0000;0.5720;0.3442;0.0638;2.0697;4.0000;0.5450
1807.2000;1.0000;157.6670;2.0000;0.6260;0.3457;0.0857;2.0717;4.0000;0.5226
1807.3500;1.0000;156.2167;2.0000;0.7070;0.3473;0.0969;2.0628;4.0000;0.5126
1807.5000;1.0000;154.7650;2.0000;0.7880;0.3488;0.1076;2.0540;4.0000;0.5030
1807.6500;1.0000;157.7666;2.0000;0.7970;0.3426;0.0868;2.0451;4.0000;0.5215
1807.8000;1.0000;160.7710;2.0000;0.8060;0.3364;0.0668;2.0363;4.0000;0.5416
1807.9500;1.0000;159.9784;2.0000;0.6751;0.3302;0.0698;2.0894;4.0000;0.5317
1808.1000;1.0000;159.1850;2.0000;0.5440;0.3240;0.0689;2.1425;4.0000;0.5218
1808.2500;1.0000;160.2865;2.0000;0.5850;0.3178;0.0586;2.1956;4.0000;0.5270
1808.4000;1.0000;161.3890;2.0000;0.6260;0.3116;0.0481;2.1743;4.0000;0.5324
1808.5500;1.0000;157.0966;2.0000;0.5715;0.3054;0.0645;2.1531;4.0000;0.4950
1808.7000;1.0000;152.8000;2.0000;0.5170;0.2992;0.0789;2.1319;4.0000;0.4605
1808.8500;1.0000;146.9293;2.0000;0.7894;0.2930;0.0978;2.1106;4.0000;0.4187
1809.0000;1.0000;141.0530;2.0000;1.0620;0.2868;0.1134;2.0894;4.0000;0.3806
1809.1500;1.0000;141.8461;2.0000;1.1789;0.3075;0.1256;2.0894;3.0000;0.3971
1809.3000;1.0000;142.6400;2.0000;1.2960;0.3282;0.1382;2.0894;3.0000;0.4135
1809.4500;1.0000;146.1323;2.0000;0.8967;0.3488;0.1591;2.0894;3.0000;0.4146
1809.6000;1.0000;149.6280;2.0000;0.4970;0.3178;0.1242;2.1336;3.0000;0.4184
1809.7500;1.0000;156.1044;2.0000;0.8134;0.2868;0.0740;2.1779;4.0000;0.4459
1809.9000;1.0000;162.5870;2.0000;1.1300;0.2558;0.0203;2.2221;4.0000;0.4800
1810.0500;1.0000;158.4470;2.0000;1.1930;0.2636;0.0454;2.2664;4.0000;0.4493
1810.2000;1.0000;154.3030;2.0000;1.2560;0.2713;0.0714;2.2411;4.0000;0.4218
1810.3500;1.0000;151.2520;2.0000;1.2820;0.2791;0.0908;2.2158;4.0000;0.4047
1810.5000;1.0000;148.1980;2.0000;1.3080;0.2868;0.1087;2.1905;4.0000;0.3888
1810.6500;1.0000;145.9891;2.0000;1.3790;0.2992;0.1253;2.1652;3.0000;0.3824
1810.8000;1.0000;143.7780;2.0000;1.4500;0.3116;0.1429;2.1399;3.0000;0.3765
